posizione,titolo,autore,url,rating,numero_recensioni,categoria,editore_anno,disponibilita
64,Domenica,Georges Simenon,https://www.ibs.it/domenica-libro-georges-simenon/e/9788845941184,5,13,Narrativa straniera,"Adelphi, 2026",Disponibilità immediata
65,La felicità nei giorni di pioggia,Imogen Clark,https://www.ibs.it/felicita-nei-giorni-di-pioggia-libro-imogen-clark/e/9791281368682,3,20,Narrativa straniera,"Libreria Pienogiorno, 2025",Disponibilità immediata
66,Succede sempre qualcosa di meraviglioso,Gianluca Gotto,https://www.ibs.it/succede-sempre-qualcosa-di-meraviglioso-libro-gianluca-gotto/e/9788804729044,5,68,Narrativa italiana,"Mondadori, 2021",Disponibile in 5 gg lavorativi
67,L'ultimo segreto,Dan Brown,https://www.ibs.it/ultimo-segreto-libro-dan-brown/e/9788817174459,3,73,"Gialli, thriller, horror","Rizzoli, 2025",Disponibilità immediata
68,Il fattore gatto,Piergiorgio Pulixi,https://www.ibs.it/fattore-gatto-libro-piergiorgio-pulixi/e/9788829790135,0,0,Narrativa italiana,"Marsilio, 2026",Disponibile dal 15 settembre 2026
69,Le più belle storie dei miti greci. Ediz. a colori,Luisa Mattia,https://www.ibs.it/piu-belle-storie-dei-miti-libro-luisa-mattia/e/9788858019689,5,22,Bambini e ragazzi,"Gribaudo, 2018",Disponibile in 5 gg lavorativi
70,Nuove indicazioni nazionali per la scuola. Domande e risposte: cosa cambia alla scuola dell’infanzia e nel primo ciclo,,https://www.ibs.it/nuove-indicazioni-nazionali-per-scuola-libro-vari/e/9788859046134,0,0,Educazione e formazione,"Erickson, 2026",Disponibilità immediata
71,Il dilemma,B. A. Paris,https://www.ibs.it/dilemma-libro-b-a-paris/e/2000000170602,0,0,Narrativa straniera,"TEA, 2026",Disponibilità immediata
72,Il passato è un morto senza cadavere,Antonio Manzini,https://www.ibs.it/passato-morto-senza-cadavere-libro-antonio-manzini/e/9788838946776,4,51,"Gialli, thriller, horror","Sellerio Editore Palermo, 2024",Disponibilità immediata
73,Il maestro dei sogni,Marco De Franchi,https://www.ibs.it/maestro-dei-sogni-libro-marco-de-franchi/e/2000000170619,0,0,Narrativa italiana,"TEA, 2026",Disponibilità immediata
74,Oliva Denaro,Viola Ardone,https://www.ibs.it/oliva-denaro-libro-viola-ardone/e/9788806247973,5,111,Narrativa italiana,"Einaudi, 2021",Disponibilità immediata
75,Le terme dell'Indirizzo,Cristina Cassar Scalia,https://www.ibs.it/terme-dell-indirizzo-libro-cristina-cassar-scalia/e/9788806260316,4,19,"Gialli, thriller, horror","Einaudi, 2026",Disponibilità immediata
76,Cecità,José Saramago,https://www.ibs.it/cecita-libro-jose-saramago/e/9788807950766,5,6,Narrativa straniera,"Feltrinelli, 2026",Disponibilità immediata
77,La versione delle margherite,Sarah Savioli,https://www.ibs.it/versione-delle-margherite-libro-sarah-savioli/e/9788807970160,0,0,Narrativa italiana,"Feltrinelli, 2026",Disponibilità immediata
78,Follia,Patrick McGrath,https://www.ibs.it/follia-libro-patrick-mcgrath/e/9788845926983,4,515,Narrativa straniera,"Adelphi, 2012",Disponibilità immediata
79,La solitudine di Sonia e Sunny,Kiran Desai,https://www.ibs.it/solitudine-di-sonia-sunny-libro-kiran-desai/e/9788845941016,5,4,Narrativa straniera,"Adelphi, 2026",Disponibilità immediata
80,San Francesco,Alessandro Barbero,https://www.ibs.it/san-francesco-libro-alessandro-barbero/e/9788858155325,5,15,Religione e spiritualità,"Laterza, 2025",Disponibilità immediata
81,Francesco. Il primo italiano,Aldo Cazzullo,https://www.ibs.it/francesco-primo-italiano-libro-aldo-cazzullo/e/9791259854902,3,14,Religione e spiritualità,"HarperCollins Italia, 2025",Disponibilità immediata
82,Saggio sulla lucidità,José Saramago,https://www.ibs.it/saggio-sulla-lucidita-libro-jose-saramago/e/2000000163277,0,0,Narrativa straniera,"Feltrinelli, 2026",Disponibilità immediata
83,Acqua scura. Le indagini di Kate Linville,Charlotte Link,https://www.ibs.it/acqua-scura-indagini-di-kate-libro-charlotte-link/e/2000000170664,0,0,Narrativa straniera,"TEA, 2026",Disponibilità immediata
84,Norwegian wood. Tokyo blues,Haruki Murakami,https://www.ibs.it/norwegian-wood-tokyo-blues-libro-haruki-murakami/e/9788806216467,4,552,Narrativa straniera,"Einaudi, 2013",Disponibilità immediata
85,La paziente silenziosa,Alex Michaelides,https://www.ibs.it/paziente-silenziosa-libro-alex-michaelides/e/9788806244583,4,121,Narrativa straniera,"Einaudi, 2020",Disponibile in 5 gg lavorativi
86,L'orologiaio di Brest,Maurizio de Giovanni,https://www.ibs.it/orologiaio-di-brest-libro-maurizio-de-giovanni/e/9788807036606,4,36,Narrativa italiana,"Feltrinelli, 2025",Disponibilità immediata
87,La continuità del male. Perché la destra italiana è ancora fascista,Tomaso Montanari,https://www.ibs.it/continuita-del-male-perche-destra-libro-tomaso-montanari/e/9788807200212,4,15,"Società, politica e comunicazione","Feltrinelli, 2026",Disponibilità immediata
88,Anna Karenina,Lev Tolstoj,https://www.ibs.it/anna-karenina-libro-lev-tolstoj/e/9788807900006,5,135,Narrativa straniera,"Feltrinelli, 2013",Disponibilità immediata
89,Io che ti ho voluto così bene,Roberta Recchia,https://www.ibs.it/io-che-ti-ho-voluto-libro-roberta-recchia/e/9788817183505,5,39,Narrativa italiana,"Rizzoli, 2025",Disponibilità immediata
90,La libreria dei gatti neri,Piergiorgio Pulixi,https://www.ibs.it/libreria-dei-gatti-neri-libro-piergiorgio-pulixi/e/9788829711642,4,63,Narrativa italiana,"Marsilio, 2023",Disponibilità immediata
91,Iliade,Omero,https://www.ibs.it/iliade-libro-omero/e/9788831743020,5,20,"Classici, poesia, teatro e critica","Marsilio, 2018",Disponibilità immediata
92,Punto di partenza 1979-1996,Hayao Miyazaki,https://www.ibs.it/punto-di-partenza-1979-1996-libro-hayao-miyazaki/e/9788834621936,0,0,Biografie,"La nave di Teseo, 2026",Disponibilità immediata
93,La vegetariana,Han Kang,https://www.ibs.it/vegetariana-libro-han-kang/e/9788845934018,4,84,Narrativa straniera,"Adelphi, 2019",Disponibilità immediata
94,I cinque malfatti. Ediz. a colori,Beatrice Alemagna,https://www.ibs.it/cinque-malfatti-ediz-a-colori-libro-beatrice-alemagna/e/9788898523061,5,42,Bambini e ragazzi,"TopiPittori, 2016",Disponibile in 5 gg lavorativi
95,Solo il seme lo sa. Libro pop-up. Ediz. a colori,Agnese Baruzzi,https://www.ibs.it/solo-seme-sa-libro-pop-libro-agnese-baruzzi-silvia-vecchini/e/9791255190653,0,0,Bambini e ragazzi,"Lapis, 2025",Disponibilità immediata
96,Il tempo del la la la,Luciana Littizzetto,https://www.ibs.it/tempo-del-libro-luciana-littizzetto/e/9788804761648,0,0,Narrativa italiana,"Mondadori, 2026",Disponibilità immediata
97,Il sistema periodico,Primo Levi,https://www.ibs.it/sistema-periodico-libro-primo-levi/e/9788806272104,0,0,Narrativa italiana,"Einaudi, 2026",Disponibilità immediata
98,La morte di Ivan Il'ic,Lev Tolstoj,https://www.ibs.it/morte-di-ivan-ic-libro-lev-tolstoj/e/9788807900815,5,53,Narrativa straniera,"Feltrinelli, 2014",Disponibilità immediata
99,Il ragno nella tela. Le indagini della grafologa Bea Navarra,Nunzia Scalzo,https://www.ibs.it/ragno-nella-tela-indagini-della-libro-nunzia-scalzo/e/9788807970207,4,10,"Gialli, thriller, horror","Feltrinelli, 2026",Disponibile in 5 gg lavorativi
100,Tre nomi,Florence Knapp,https://www.ibs.it/tre-nomi-libro-florence-knapp/e/9788811014553,4,20,Narrativa straniera,"Garzanti, 2026",Disponibilità immediata
